Number,French Word,French Sentence,English Word,English Sentence
1,acuerdo,"S, estoy de acuerdo.",[acuerdo in English],[English translation]
2,admiracin,"S que usted no tiene ese problema observ la profesora McGonagall, entre la exasperacin y la admiracin.",[admiracin in English],[English translation]
3,agitacin,Aquel grupo tambin susurraba con agitacin y no llevaba ni una hucha.,[agitacin in English],[English translation]
4,albus,El nombre de aquel hombre era Albus Dumbledore.,[albus in English],[English translation]
5,algo,"Eran las ltimas personas que se esperara encontrar relacionadas con algo extrao o misterioso, porque no estaban para tales tonteras.",[algo in English],[English translation]
6,alguna,Pero entonces se le ocurri que deba de ser alguna tontera publicitaria; era evidente que aquella gente haca una colecta para algo.,[alguna in English],[English translation]
7,all,El gato todava estaba all.,[all in English],[English translation]
8,alrededor,"Estaba seguro de que era el mismo, pues tena unas lneas idnticas alrededor de los ojos.",[alrededor in English],[English translation]
9,ambos,"Se fue haciendo ms fuerte mientras ellos miraban a ambos lados de la calle, buscando alguna luz.",[ambos in English],[English translation]
10,ante,"No tena sentido preocupar a la seora Dursley, siempre se trastornaba mucho ante cualquier mencin de su hermana.",[ante in English],[English translation]
11,antes,"Se apresur a subir a su coche y a dirigirse hacia su casa, deseando que todo fueran imaginaciones suyas (algo que nunca haba deseado antes, porque no aprobaba la imaginacin).",[antes in English],[English translation]
12,apenas,"Apenas tembl cuando se cerr la puerta de un coche en la calle de al lado, ni cuando dos lechuzas volaron sobre su cabeza.",[apenas in English],[English translation]
13,aquel,Pero nada haba en aquel nublado cielo que sugiriera los acontecimientos extraos y misteriosos que poco despus tendran lugar en toda la regin.,[aquel in English],[English translation]
14,aquella,Pero entonces se le ocurri que deba de ser alguna tontera publicitaria; era evidente que aquella gente haca una colecta para algo.,[aquella in English],[English translation]
15,aquellas,La mayora de aquellas personas no haba visto una lechuza ni siquiera de noche.,[aquellas in English],[English translation]
16,aquello,Aquello no iba bien.,[aquello in English],[English translation]
17,asinti,"Dumbledore asinti con la cabeza, apesadumbrado.",[asinti in English],[English translation]
18,aunque,"Era un hombre corpulento y rollizo, casi sin cuello, aunque con un bigote inmenso.",[aunque in English],[English translation]
19,avanz,"El trfico avanz y, unos minutos ms tarde, el seor Dursley lleg al aparcamiento de Grunnings, pensando nuevamente en los taladros.",[avanz in English],[English translation]
20,azabache,"Bajo una mata de pelo negro azabache, sobre la frente, pudieron ver una cicatriz con una forma curiosa, como un relmpago.",[azabache in English],[English translation]
21,bajo,"Bajo una mata de pelo negro azabache, sobre la frente, pudieron ver una cicatriz con una forma curiosa, como un relmpago.",[bajo in English],[English translation]
22,bandadas,"Bandadas de lechuzas, estrellas fugaces Bueno, no son totalmente estpidos.",[bandadas in English],[English translation]
23,bao,"Mientras la seora Dursley estaba en el cuarto de bao, el seor Dursley se acerc lentamente hasta la ventana del dormitorio y escudri el jardn delantero.",[bao in English],[English translation]
24,bebi,La seora Dursley bebi su t con los labios fruncidos.,[bebi in English],[English translation]
25,bien,Aquello no iba bien.,[bien in English],[English translation]
26,bristol,Se qued dormido mientras volbamos sobre Bristol.,[bristol in English],[English translation]
27,buen,"Estuvo de muy buen humor hasta la hora de la comida, cuando decidi estirar las piernas y dirigirse a la panadera que estaba en la acera de enfrente.",[buen in English],[English translation]
28,buena,El nio era otra buena razn para mantener alejados a los Potter: no queran que Dudley se juntara con un nio como aqul.,[buena in English],[English translation]
29,bueno,La seora Dursley haba tenido un da bueno y normal.,[bueno in English],[English translation]
30,captulo,"E CAPTULO UNO El nio que vivi L seor y la seora Dursley, que vivan en el nmero 4 de Privet Drive, estaban orgullosos de decir que eran muy normales, afortunadamente.",[captulo in English],[English translation]
31,casi,"Era un hombre corpulento y rollizo, casi sin cuello, aunque con un bigote inmenso.",[casi in English],[English translation]
32,cinco,Grit a cinco personas.,[cinco in English],[English translation]
33,cinturn,"Era alto, delgado y muy anciano, a juzgar por su pelo y barba plateados, tan largos que podra sujetarlos con el cinturn.",[cinturn in English],[English translation]
34,comn,Nunca tuvo mucho sentido comn.,[comn in English],[English translation]
35,como,El nio era otra buena razn para mantener alejados a los Potter: no queran que Dudley se juntara con un nio como aqul.,[como in English],[English translation]
36,con,"Eran las ltimas personas que se esperara encontrar relacionadas con algo extrao o misterioso, porque no estaban para tales tonteras.",[con in English],[English translation]
37,conseguir,Mientras iba a la ciudad en coche no pens ms que en los pedidos de taladros que esperaba conseguir aquel da.,[conseguir in English],[English translation]
38,contra,"A las ocho y media, el seor Dursley cogi su maletn, bes a la seora Dursley en la mejilla y trat de despedirse de Dudley con un beso, aunque no pudo, ya que el nio tena un berrinche y estaba arrojando los cereales contra las paredes.",[contra in English],[English translation]
39,creo,Eso creo respondi la seora Dursley con rigidez.,[creo in English],[English translation]
40,cualquier,"No tena sentido preocupar a la seora Dursley, siempre se trastornaba mucho ante cualquier mencin de su hermana.",[cualquier in English],[English translation]
41,cuando,"Nuestra historia comienza cuando el seor y la seora Dursley se despertaron un martes, con un cielo cubierto de nubes grises que amenazaban tormenta.",[cuando in English],[English translation]
42,cuenta,"Durante un segundo, el seor Dursley no se dio cuenta de lo que haba visto, pero luego volvi la cabeza para mirar otra vez.",[cuenta in English],[English translation]
