Number,Spanish Word,Spanish Sentence,English Word,English Sentence
1,abandonado,La luz titilante que los ojos de Dumbledore irradiaban habitualmente pareca haberlos abandonado.,[abandonado in English],[English translation]
2,abatimiento,"Oh, s dijo el seor Dursley, con una espantosa sensacin de abatimiento.",[abatimiento in English],[English translation]
3,abierta,"No vio las lechuzas que volaban en pleno da, aunque en la calle s que las vean y las sealaban con la boca abierta, mientras las aves desfilaban una tras otra.",[abierta in English],[English translation]
4,abraz,Y el anciano abraz al seor Dursley y se alej.,[abraz in English],[English translation]
5,acera,Los Dursley se estremecan al pensar qu diran los vecinos si los Potter apareciesen por la acera.,[acera in English],[English translation]
6,acontecimientos,Pero nada haba en aquel nublado cielo que sugiriera los acontecimientos extraos y misteriosos que poco despus tendran lugar en toda la regin.,[acontecimientos in English],[English translation]
7,actitud,"Bueno, Ted dijo el meteorlogo, eso no lo s, pero no slo las lechuzas han tenido hoy una actitud extraa.",[actitud in English],[English translation]
8,adems,"Se poda decir que era demasiado grande para que lo aceptaran y, adems, tan desaliado Cabello negro, largo y revuelto, y una barba que le cubra casi toda la cara.",[adems in English],[English translation]
9,afable,No puede reprochrselo dijo Dumbledore con tono afable.,[afable in English],[English translation]
10,afectarlos,"Los Potter saban muy bien lo que l y Petunia pensaban de ellos y de los de su clase No vea cmo a l y a Petunia podran mezclarlos en algo que tuviera que ver (bostez y se dio la vuelta) No, no podra afectarlos a ellos Qu equivocado estaba!",[afectarlos in English],[English translation]
11,afueras,Pero en las afueras ocurri algo que apart los taladros de su mente.,[afueras in English],[English translation]
12,aire,"Lo abri, lo sostuvo alto en el aire y lo encendi.",[aire in English],[English translation]
13,alejados,El nio era otra buena razn para mantener alejados a los Potter: no queran que Dudley se juntara con un nio como aqul.,[alejados in English],[English translation]
14,alfileres,"Doce veces hizo funcionar el Apagador, hasta que las nicas luces que quedaron en toda la calle fueron dos alfileres lejanos: los ojos del gato que lo observaba.",[alfileres in English],[English translation]
15,aliviado,Hagrid dijo aliviado Dumbledore.,[aliviado in English],[English translation]
